question_text,source,extracted_timestamp,features,text_length,word_count,subject,topic,difficulty,exam_type,year,augmented_timestamp
What is the capital of France? (Variant 1),augmented,2025-12-01T14:46:13.382148,"{'text_length': 42, 'word_count': 8, 'sentence_count': 2, 'avg_word_length': np.float64(4.375), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.11000000000000001), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",42,8,Geography,World Geography,Easy,SSC,2023,
What is the capital of France? (Variant 2),augmented,2025-12-01T14:46:13.382352,"{'text_length': 42, 'word_count': 8, 'sentence_count': 2, 'avg_word_length': np.float64(4.375), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.11000000000000001), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",42,8,Geography,World Geography,Easy,SSC,2023,
What becomes the capital of France? (Variant 2),augmented,2025-12-01T14:46:13.382352,"{'text_length': 42, 'word_count': 8, 'sentence_count': 2, 'avg_word_length': np.float64(4.375), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.11000000000000001), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",42,8,Geography,World Geography,Easy,SSC,2023,2025-12-01T14:46:13.389961
Explain Newton's first law of motion.,upsc_cds,2025-12-01T14:46:13.382481,"{'text_length': 37, 'word_count': 6, 'sentence_count': 1, 'avg_word_length': np.float64(5.333333333333333), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.16000000000000003), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",37,6,Science,Physics,Medium,UPSC,2023,
Explain Newton's first law of motion. (Variant 1),augmented,2025-12-01T14:46:13.382679,"{'text_length': 49, 'word_count': 8, 'sentence_count': 2, 'avg_word_length': np.float64(5.25), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.12), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",49,8,Science,Physics,Medium,UPSC,2023,
Explain Newton's first law of motion. (Variant 2),augmented,2025-12-01T14:46:13.382869,"{'text_length': 49, 'word_count': 8, 'sentence_count': 2, 'avg_word_length': np.float64(5.25), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.12), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",49,8,Science,Physics,Medium,UPSC,2023,
What is the GDP of India in 2023?,rbi_gradeb,2025-12-01T14:46:13.383004,"{'text_length': 33, 'word_count': 8, 'sentence_count': 1, 'avg_word_length': np.float64(3.25), 'has_math_symbols': False, 'has_years': True, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.18000000000000002), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",33,8,Economics,Macroeconomics,Hard,Banking,2023,
What is the GDP of India in 2024?,augmented,2025-12-01T14:46:13.383004,"{'text_length': 33, 'word_count': 8, 'sentence_count': 1, 'avg_word_length': np.float64(3.25), 'has_math_symbols': False, 'has_years': True, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.18000000000000002), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",33,8,Economics,Macroeconomics,Hard,Banking,2023,2025-12-01T14:46:13.390029
What is the GDP of India in 2023? (Variant 1),augmented,2025-12-01T14:46:13.383209,"{'text_length': 45, 'word_count': 10, 'sentence_count': 2, 'avg_word_length': np.float64(3.6), 'has_math_symbols': False, 'has_years': True, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,10,Economics,Macroeconomics,Hard,Banking,2023,
What becomes the GDP of India in 2023? (Variant 1),augmented,2025-12-01T14:46:13.383209,"{'text_length': 45, 'word_count': 10, 'sentence_count': 2, 'avg_word_length': np.float64(3.6), 'has_math_symbols': False, 'has_years': True, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,10,Economics,Macroeconomics,Hard,Banking,2023,2025-12-01T14:46:13.390049
What is the GDP of India in 2023? (Variant 2),augmented,2025-12-01T14:46:13.383410,"{'text_length': 45, 'word_count': 10, 'sentence_count': 2, 'avg_word_length': np.float64(3.6), 'has_math_symbols': False, 'has_years': True, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,10,Economics,Macroeconomics,Hard,Banking,2023,
What is the GDP of India in 2028? (Variant 2),augmented,2025-12-01T14:46:13.383410,"{'text_length': 45, 'word_count': 10, 'sentence_count': 2, 'avg_word_length': np.float64(3.6), 'has_math_symbols': False, 'has_years': True, 'has_numbers': True, 'subject_markers': [], 'difficulty_indicators': {'complexity_score': np.float64(0.13), 'technical_terms': 0.0, 'abstract_concepts': 0.0}}",45,10,Economics,Macroeconomics,Hard,Banking,2023,2025-12-01T14:46:13.390074
Which article of the Indian Constitution deals with the right to equality?,upsc_cse_prelims,2025-12-01T14:46:13.383556,"{'text_length': 74, 'word_count': 12, 'sentence_count': 1, 'avg_word_length': np.float64(5.25), 'has_math_symbols': False, 'has_years': False, 'has_numbers': False, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.31), 'technical_terms': 0.16666666666666666, 'abstract_concepts': 0.0}}",74,12,Polity,Fundamental Rights,Medium,UPSC,2023,
Which article of the Indian Constitution deals with the right to equality? (Variant 1),augmented,2025-12-01T14:46:13.383782,"{'text_length': 86, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.214285714285714), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.21285714285714286), 'technical_terms': 0.14285714285714285, 'abstract_concepts': 0.0}}",86,14,Polity,Fundamental Rights,Medium,UPSC,2023,
Which article of the Indian Constitution deals with the right to equality? (Variant 2),augmented,2025-12-01T14:46:13.384013,"{'text_length': 86, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.214285714285714), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.21285714285714286), 'technical_terms': 0.14285714285714285, 'abstract_concepts': 0.0}}",86,14,Polity,Fundamental Rights,Medium,UPSC,2023,
Which article of the Indian Constitution deals with the right to equality? (Variant 3),augmented,2025-12-01T14:46:13.384013,"{'text_length': 86, 'word_count': 14, 'sentence_count': 2, 'avg_word_length': np.float64(5.214285714285714), 'has_math_symbols': False, 'has_years': False, 'has_numbers': True, 'subject_markers': ['polity'], 'difficulty_indicators': {'complexity_score': np.float64(0.21285714285714286), 'technical_terms': 0.14285714285714285, 'abstract_concepts': 0.0}}",86,14,Polity,Fundamental Rights,Medium,UPSC,2023,2025-12-01T14:46:13.390128
